family,short_name,description,source
RF03304,"Phasianus colchicus isolate SZU-A5-319 scaffold31_cov58, whole genome shotgun se","Phasianus colchicus isolate SZU-A5-319 scaffold31_cov58, whole genome shotgun sequence",header
RF03313,RF03313,RF03313,fallback
RF03315,"Synaphobranchus kaupii isolate WJC10195 ecotype Taiwan chromosome 4, whole genom","Synaphobranchus kaupii isolate WJC10195 ecotype Taiwan chromosome 4, whole genome shotgun sequence",header
RF03319,RF03319,RF03319,fallback
RF03322,"Charadrius vociferus isolate BGI_N301 unplaced genomic scaffold scaffold455, who","Charadrius vociferus isolate BGI_N301 unplaced genomic scaffold scaffold455, whole genome shotgun sequence",header
RF03325,"Branchiostoma floridae strain S238N-H82 chromosome 17, Bfl_VNyyK, whole genome s","Branchiostoma floridae strain S238N-H82 chromosome 17, Bfl_VNyyK, whole genome shotgun sequence",header
RF03342,"Patagioenas fasciata monilis isolate BTP2013 Sc31e1R_20, whole genome shotgun se","Patagioenas fasciata monilis isolate BTP2013 Sc31e1R_20, whole genome shotgun sequence",header
RF03353,"Medicago truncatula strain A17 chromosome 5, whole genome shotgun sequence","Medicago truncatula strain A17 chromosome 5, whole genome shotgun sequence",header
RF03354,RF03354,RF03354,fallback
RF03359,"Coturnix japonica isolate 7356 chromosome 15, whole genome shotgun sequence","Coturnix japonica isolate 7356 chromosome 15, whole genome shotgun sequence",header
RF03378,RF03378,RF03378,fallback
RF03379,RF03379,RF03379,fallback
RF03381,RF03381,RF03381,fallback
RF03387,"Suricata suricatta isolate VVHF042 chromosome 5, whole genome shotgun sequence","Suricata suricatta isolate VVHF042 chromosome 5, whole genome shotgun sequence",header
RF03400,"Danio rerio strain Tuebingen chromosome 24, GRCz11 Primary Assembly","Danio rerio strain Tuebingen chromosome 24, GRCz11 Primary Assembly",header
RF03404,RF03404,RF03404,fallback
RF03407,"Oryza sativa Japonica Group DNA, chromosome 8, cultivar: Nipponbare, complete se","Oryza sativa Japonica Group DNA, chromosome 8, cultivar: Nipponbare, complete sequence",header
RF03414,RF03414,RF03414,fallback
RF03419,RF03419,RF03419,fallback
RF03435,"Anolis carolinensis chromosome 2, whole genome shotgun sequence","Anolis carolinensis chromosome 2, whole genome shotgun sequence",header
RF03439,"Ficedula albicollis isolate OC2 chromosome 11, whole genome shotgun sequence","Ficedula albicollis isolate OC2 chromosome 11, whole genome shotgun sequence",header
RF03443,"Chloebia gouldiae isolate Red01 scaffold_29, whole genome shotgun sequence","Chloebia gouldiae isolate Red01 scaffold_29, whole genome shotgun sequence",header
RF03445,"Hucho hucho isolate haploid_2015_munich scaffold1349, whole genome shotgun seque","Hucho hucho isolate haploid_2015_munich scaffold1349, whole genome shotgun sequence",header
RF03456,RF03456,RF03456,fallback
RF03465,"Triticum urartu cultivar G1812 chromosome 1, whole genome shotgun sequence","Triticum urartu cultivar G1812 chromosome 1, whole genome shotgun sequence",header
RF03466,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) Contig6428.1, whole","Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) Contig6428.1, whole genome shotgun sequence",header
RF03470,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 4, whole","Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 4, whole genome shotgun sequence",header
